2,8,13,17,22,28,24
5,10,13,16,20,27,11
5,10,14,16,29,30,9
15,21,23,30,31,33,19
6,13,15,19,30,32,31
8,9,19,21,26,31,24
7,9,15,17,26,34,36
4,5,8,12,19,33,35
4,11,26,28,31,36,32
2,6,7,18,33,34,31
7,9,18,22,27,34,32
4,5,8,12,23,27,33
3,5,11,18,20,22,34
2,5,17,26,33,34,7
5,22,25,27,32,36,17
3,11,15,16,22,25,27
5,7,9,21,25,26,28
1,3,9,12,19,24,14
9,12,16,22,24,31,10
13,18,27,29,32,34,20
2,19,20,31,34,36,11
4,20,23,24,28,32,30
2,14,15,21,23,36,26
16,18,26,32,33,35,27
10,15,16,22,26,35,24
3,15,17,29,30,31,6
2,6,17,18,27,28,10
5,13,20,26,27,34,29
8,14,24,32,33,34,22
2,4,26,28,32,34,16
8,16,19,22,25,28,9
9,14,19,20,32,34,12
4,12,15,18,22,28,27
5,7,11,23,26,32,33
9,13,14,22,35,36,25
5,15,17,18,31,36,8
3,4,10,20,31,36,33
3,8,13,16,26,31,15
5,23,24,26,31,34,20
6,12,14,23,27,29,19
7,8,9,10,27,28,23
5,11,17,20,26,27,32
5,10,15,23,28,31,4
5,7,8,24,30,35,31
3,4,6,17,28,31,20
1,6,8,19,22,35,12
1,11,15,27,29,30,18
1,4,9,14,23,25,33
1,10,11,20,24,31,15
3,6,12,13,22,29,2
1,6,14,16,17,36,20
8,11,15,19,31,36,26
2,9,10,15,26,28,35
8,11,23,26,32,34,12
8,9,10,18,23,27,31
20,23,24,25,27,36,10
4,12,14,20,24,28,1
11,15,21,29,33,36,20
7,10,14,23,28,31,21
10,12,15,23,29,32,26
13,24,27,29,30,36,15
9,13,15,20,27,33,25
1,3,18,24,32,35,26
1,2,14,17,19,30,10
1,3,22,26,33,35,2
1,3,6,14,18,24,8
12,16,27,30,31,34,29
1,5,8,10,15,26,6
7,18,20,21,25,32,24
6,15,16,17,30,36,31
9,20,21,25,30,31,13
4,7,19,26,27,29,24
4,10,17,32,34,36,27
1,3,13,22,28,34,21
1,18,22,24,26,33,20
2,5,6,16,30,35,26
3,5,6,14,15,20,7
1,3,9,23,27,28,24
