11,13,14,29,36,18
11,13,16,29,36,18
11,14,16,29,36,18
13,14,16,29,36,18
2,4,9,21,24,26
2,4,9,21,24,27
2,4,9,21,26,27
2,4,9,24,26,27
2,4,21,24,26,27
2,9,21,24,26,27
4,9,21,24,26,27
1,15,20,21,24,27
1,15,20,21,24,30
1,15,20,21,27,30
1,15,20,24,27,30
1,15,21,24,27,30
1,20,21,24,27,30
15,20,21,24,27,30
17,20,22,23,33,36
17,20,22,23,33,4
17,20,22,23,36,4
17,20,22,33,36,4
17,20,23,33,36,4
17,22,23,33,36,4
20,22,23,33,36,4
9,17,18,20,26,30
9,17,18,20,26,23
9,17,18,20,30,23
9,17,18,26,30,23
9,17,20,26,30,23
9,18,20,26,30,23
17,18,20,26,30,23
6,8,12,16,19,25
6,8,12,16,19,29
6,8,12,16,25,29
6,8,12,19,25,29
6,8,16,19,25,29
6,12,16,19,25,29
8,12,16,19,25,29
1,4,5,13,20,32
1,4,5,13,20,14
1,4,5,13,32,14
1,4,5,20,32,14
1,4,13,20,32,14
1,5,13,20,32,14
4,5,13,20,32,14
6,13,16,17,24,31
6,13,16,17,24,10
6,13,16,17,31,10
6,13,16,24,31,10
6,13,17,24,31,10
6,16,17,24,31,10
13,16,17,24,31,10
4,8,9,16,22,25
4,8,9,16,22,6
4,8,9,16,25,6
4,8,9,22,25,6
4,8,16,22,25,6
4,9,16,22,25,6
8,9,16,22,25,6
1,12,29,32,33,34
1,12,29,32,33,10
1,12,29,32,34,10
1,12,29,33,34,10
1,12,32,33,34,10
1,29,32,33,34,10
12,29,32,33,34,10
6,13,14,18,21,24
6,13,14,18,21,9
6,13,14,18,24,9
6,13,14,21,24,9
6,13,18,21,24,9
6,14,18,21,24,9
13,14,18,21,24,9
6,9,14,19,23,34
6,9,14,19,23,35
6,9,14,19,34,35
6,9,14,23,34,35
6,9,19,23,34,35
6,14,19,23,34,35
9,14,19,23,34,35
5,9,12,13,26,27
5,9,12,13,26,18
5,9,12,13,27,18
5,9,12,26,27,18
5,9,13,26,27,18
5,12,13,26,27,18
9,12,13,26,27,18
11,20,23,28,32,36
11,20,23,28,32,16
11,20,23,28,36,16
11,20,23,32,36,16
11,20,28,32,36,16
11,23,28,32,36,16
20,23,28,32,36,16
14,16,20,22,30,35
14,16,20,22,30,19
14,16,20,22,35,19
14,16,20,30,35,19
14,16,22,30,35,19
14,20,22,30,35,19
16,20,22,30,35,19
10,11,15,22,24,25
10,11,15,22,24,2
10,11,15,22,25,2
10,11,15,24,25,2
10,11,22,24,25,2
10,15,22,24,25,2
11,15,22,24,25,2
2,10,15,18,20,32
2,10,15,18,20,31
2,10,15,18,32,31
2,10,15,20,32,31
2,10,18,20,32,31
2,15,18,20,32,31
10,15,18,20,32,31
7,8,10,24,30,35
7,8,10,24,30,17
7,8,10,24,35,17
7,8,10,30,35,17
7,8,24,30,35,17
7,10,24,30,35,17
8,10,24,30,35,17
12,15,19,21,22,28
12,15,19,21,22,26
12,15,19,21,28,26
12,15,19,22,28,26
12,15,21,22,28,26
12,19,21,22,28,26
15,19,21,22,28,26
5,19,22,23,30,36
5,19,22,23,30,21
5,19,22,23,36,21
5,19,22,30,36,21
5,19,23,30,36,21
5,22,23,30,36,21
19,22,23,30,36,21
8,10,15,16,24,25
8,10,15,16,24,30
8,10,15,16,25,30
8,10,15,24,25,30
8,10,16,24,25,30
8,15,16,24,25,30
10,15,16,24,25,30
5,18,19,21,31,33
5,18,19,21,31,20
5,18,19,21,33,20
5,18,19,31,33,20
5,18,21,31,33,20
5,19,21,31,33,20
18,19,21,31,33,20
9,16,24,31,32,33
9,16,24,31,32,29
9,16,24,31,33,29
9,16,24,32,33,29
9,16,31,32,33,29
9,24,31,32,33,29
